crop_type,disease_type,disease_stage,crop_stage,region,is_organic_farming,temperature,humidity,rainfall,soil_ph,nitrogen,organic_pesticide,organic_application_method,organic_dosage,organic_frequency,non_organic_pesticide,non_organic_application_method,non_organic_dosage,non_organic_frequency
cotton,powdery mildew,advanced,vegetative,Punjab,1,25.4,63.3,1,6.41,46.5,Beauveria bassiana,Soil drench,2.3 ml/L water,Every 7 days,Carbendazim,Broadcast spraying,2.0 g/L water,Once every 10 days
watermelon,leaf blight,early,flowering,Karnataka,0,26.0,60.3,2,6.77,51.9,Trichoderma viride,Seed treatment,3.0 ml/L water,Every 9 days,Confidor,Foliar spray,2.8 g/L water,Once every 15 days
pigeonpeas,powdery mildew,advanced,vegetative,Punjab,0,25.6,55.0,1,6.31,53.1,Garlic-chilli extract,Drip irrigation,4.2 ml/L water,Every 9 days,Chlorpyrifos,Foliar spray,1.4 g/L water,Once every 12 days
grapes,downy mildew,early,fruiting,Karnataka,0,30.2,83.2,0,6.42,30.7,Neem oil spray,Foliar spray,2.3 ml/L water,Every 5 days,Fungicide M-45,Broadcast spraying,1.1 g/L water,Once every 20 days
cotton,leaf blight,advanced,vegetative,Maharashtra,1,29.6,67.5,2,6.5,55.5,Garlic-chilli extract,Soil drench,4.3 ml/L water,Every 7 days,Carbendazim,Foliar spray,2.1 g/L water,Once every 10 days
pomegranate,leaf blight,mid,fruiting,Maharashtra,0,25.9,68.7,1,6.71,42.7,Fish amino acid,Soil drench,4.1 ml/L water,Every 6 days,Carbendazim,Soil application,1.6 g/L water,Once every 17 days
papaya,downy mildew,mid,seedling,Karnataka,1,33.3,58.7,4,6.34,48.9,Garlic-chilli extract,Drip irrigation,4.1 ml/L water,Every 6 days,Chlorpyrifos,Broadcast spraying,2.7 g/L water,Once every 10 days
coffee,powdery mildew,early,fruiting,Bihar,1,28.0,53.7,1,6.2,37.0,Panchagavya,Soil drench,3.9 ml/L water,Every 5 days,Bavistin,Foliar spray,2.9 g/L water,Once every 20 days
coffee,stem rot,mid,fruiting,Karnataka,0,28.4,65.0,3,6.8,34.7,Trichoderma viride,Foliar spray,3.9 ml/L water,Every 10 days,Carbendazim,Broadcast spraying,2.6 g/L water,Once every 15 days
coconut,root rot,mid,flowering,Bihar,1,27.1,49.6,2,6.45,28.4,Cow dung decoction,Drip irrigation,2.9 ml/L water,Every 9 days,Chlorpyrifos,Foliar spray,2.1 g/L water,Once every 15 days
mothbeans,leaf blight,mid,fruiting,Punjab,0,28.5,75.8,1,6.23,26.6,Neem oil spray,Soil drench,4.6 ml/L water,Every 10 days,Ridomil Gold,Broadcast spraying,2.4 g/L water,Once every 16 days
mango,leaf blight,mid,seedling,Tamil Nadu,1,32.6,67.8,3,6.39,36.3,Cow urine solution,Soil drench,4.3 ml/L water,Every 8 days,Fungicide M-45,Soil application,1.1 g/L water,Once every 15 days
coffee,leaf blight,early,flowering,Maharashtra,0,34.4,66.7,2,6.53,31.7,Fish amino acid,Soil drench,3.2 ml/L water,Every 10 days,Chlorpyrifos,Broadcast spraying,1.4 g/L water,Once every 17 days
mango,downy mildew,early,seedling,Bihar,0,29.6,71.1,2,6.39,28.8,Neem oil spray,Drip irrigation,4.7 ml/L water,Every 6 days,Thiamethoxam,Foliar spray,2.9 g/L water,Once every 16 days
potato,stem rot,early,fruiting,Tamil Nadu,0,35.1,64.8,1,6.16,52.4,Trichoderma viride,Seed treatment,4.6 ml/L water,Every 6 days,Ridomil Gold,Foliar spray,2.2 g/L water,Once every 12 days
coffee,downy mildew,mid,seedling,Maharashtra,1,35.3,69.2,2,6.53,47.8,Neem oil spray,Seed treatment,3.7 ml/L water,Every 9 days,Thiamethoxam,Broadcast spraying,1.2 g/L water,Once every 11 days
millet,downy mildew,mid,fruiting,Maharashtra,1,32.9,63.7,2,6.49,49.5,Cow dung decoction,Seed treatment,4.8 ml/L water,Every 6 days,Chlorpyrifos,Soil application,1.1 g/L water,Once every 10 days
muskmelon,stem rot,early,vegetative,Bihar,0,31.5,51.8,2,6.29,35.9,Panchagavya,Seed treatment,4.4 ml/L water,Every 10 days,Bavistin,Foliar spray,2.1 g/L water,Once every 10 days
potato,leaf blight,advanced,flowering,Bihar,1,32.5,75.5,2,6.9,32.3,Trichoderma viride,Soil drench,2.2 ml/L water,Every 5 days,Thiamethoxam,Broadcast spraying,2.7 g/L water,Once every 18 days
wheat,root rot,advanced,seedling,Maharashtra,1,29.4,62.7,5,6.61,35.5,Cow dung decoction,Foliar spray,3.5 ml/L water,Every 7 days,Chlorpyrifos,Soil application,1.8 g/L water,Once every 12 days
muskmelon,downy mildew,early,seedling,Punjab,1,31.0,52.1,4,5.91,45.3,Neem oil spray,Foliar spray,3.6 ml/L water,Every 10 days,Confidor,Soil application,1.7 g/L water,Once every 17 days
wheat,leaf blight,mid,seedling,Karnataka,0,31.1,65.8,2,6.81,33.4,Garlic-chilli extract,Foliar spray,2.4 ml/L water,Every 6 days,Bavistin,Foliar spray,2.8 g/L water,Once every 17 days
rice,root rot,early,vegetative,Punjab,1,28.7,74.0,0,6.2,34.8,Garlic-chilli extract,Soil drench,4.2 ml/L water,Every 5 days,Thiamethoxam,Soil application,2.3 g/L water,Once every 17 days
chickpea,root rot,advanced,vegetative,Maharashtra,1,25.5,73.4,0,6.82,40.7,Garlic-chilli extract,Drip irrigation,3.2 ml/L water,Every 10 days,Tilt (propiconazole),Soil application,1.5 g/L water,Once every 17 days
apple,powdery mildew,early,vegetative,Tamil Nadu,0,23.6,56.6,1,6.9,37.0,Cow dung decoction,Foliar spray,3.2 ml/L water,Every 7 days,Fungicide M-45,Foliar spray,2.7 g/L water,Once every 14 days
sugarcane,root rot,early,vegetative,Punjab,1,31.4,67.1,0,6.7,32.3,Trichoderma viride,Seed treatment,2.2 ml/L water,Every 10 days,Ridomil Gold,Broadcast spraying,1.2 g/L water,Once every 16 days
papaya,root rot,early,vegetative,Maharashtra,1,35.1,72.4,4,6.6,19.0,Panchagavya,Seed treatment,2.8 ml/L water,Every 9 days,Ridomil Gold,Foliar spray,1.5 g/L water,Once every 14 days
barley,root rot,advanced,seedling,Karnataka,1,28.6,63.6,2,6.35,44.2,Panchagavya,Seed treatment,3.0 ml/L water,Every 10 days,Confidor,Foliar spray,2.4 g/L water,Once every 15 days
cotton,powdery mildew,early,seedling,Maharashtra,1,24.3,77.8,3,6.74,56.2,Fish amino acid,Drip irrigation,2.6 ml/L water,Every 10 days,Tilt (propiconazole),Foliar spray,1.1 g/L water,Once every 20 days
coconut,powdery mildew,advanced,vegetative,Karnataka,0,28.4,78.6,2,6.7,36.5,Beauveria bassiana,Seed treatment,4.2 ml/L water,Every 8 days,Bavistin,Broadcast spraying,1.3 g/L water,Once every 10 days
cotton,leaf blight,mid,vegetative,Tamil Nadu,1,35.1,48.0,0,6.35,36.6,Cow urine solution,Seed treatment,3.2 ml/L water,Every 5 days,Carbendazim,Broadcast spraying,2.7 g/L water,Once every 13 days
coconut,stem rot,advanced,seedling,Bihar,0,34.1,64.9,1,6.58,39.6,Cow urine solution,Foliar spray,2.4 ml/L water,Every 6 days,Fungicide M-45,Broadcast spraying,2.4 g/L water,Once every 11 days
coconut,leaf blight,mid,seedling,Tamil Nadu,0,30.0,62.0,3,6.26,39.4,Cow urine solution,Foliar spray,4.1 ml/L water,Every 9 days,Tilt (propiconazole),Broadcast spraying,1.6 g/L water,Once every 17 days
blackgram,downy mildew,mid,seedling,Tamil Nadu,0,27.9,67.0,0,6.61,38.7,Cow urine solution,Seed treatment,3.1 ml/L water,Every 7 days,Chlorpyrifos,Soil application,2.9 g/L water,Once every 13 days
coconut,downy mildew,advanced,seedling,Bihar,1,33.1,53.6,5,6.68,40.4,Cow dung decoction,Seed treatment,2.3 ml/L water,Every 5 days,Fungicide M-45,Soil application,1.8 g/L water,Once every 17 days
lentil,leaf blight,advanced,vegetative,Karnataka,1,28.2,58.9,5,6.83,38.3,Trichoderma viride,Drip irrigation,4.2 ml/L water,Every 9 days,Thiamethoxam,Soil application,1.1 g/L water,Once every 20 days
chickpea,powdery mildew,mid,flowering,Bihar,1,35.9,64.0,1,6.65,34.1,Panchagavya,Foliar spray,3.9 ml/L water,Every 9 days,Bavistin,Foliar spray,1.3 g/L water,Once every 14 days
chickpea,powdery mildew,advanced,seedling,Maharashtra,1,29.5,60.5,4,6.32,37.3,Neem oil spray,Foliar spray,4.2 ml/L water,Every 8 days,Tilt (propiconazole),Soil application,1.9 g/L water,Once every 11 days
sugarcane,leaf blight,advanced,flowering,Maharashtra,1,31.2,61.2,2,6.47,32.9,Panchagavya,Soil drench,3.4 ml/L water,Every 8 days,Ridomil Gold,Soil application,2.6 g/L water,Once every 19 days
kidneybeans,leaf blight,mid,fruiting,Punjab,1,28.6,66.0,1,6.31,42.1,Fish amino acid,Drip irrigation,4.2 ml/L water,Every 6 days,Fungicide M-45,Broadcast spraying,2.6 g/L water,Once every 14 days
muskmelon,leaf blight,advanced,fruiting,Bihar,0,29.8,66.5,4,6.34,44.4,Garlic-chilli extract,Seed treatment,4.7 ml/L water,Every 6 days,Carbendazim,Soil application,1.4 g/L water,Once every 18 days
chickpea,powdery mildew,mid,fruiting,Maharashtra,1,33.3,84.8,3,5.94,31.8,Panchagavya,Foliar spray,4.0 ml/L water,Every 6 days,Carbendazim,Soil application,1.8 g/L water,Once every 20 days
pomegranate,powdery mildew,early,vegetative,Bihar,0,29.0,70.6,2,6.21,43.7,Garlic-chilli extract,Drip irrigation,5.0 ml/L water,Every 5 days,Ridomil Gold,Broadcast spraying,1.2 g/L water,Once every 12 days
pigeonpeas,downy mildew,mid,vegetative,Karnataka,0,29.1,76.4,3,6.61,39.3,Fish amino acid,Seed treatment,3.8 ml/L water,Every 7 days,Thiamethoxam,Broadcast spraying,3.0 g/L water,Once every 19 days
coconut,leaf blight,mid,seedling,Tamil Nadu,1,26.1,48.4,4,6.32,46.6,Cow urine solution,Foliar spray,2.6 ml/L water,Every 5 days,Carbendazim,Soil application,2.4 g/L water,Once every 17 days
lentil,stem rot,early,fruiting,Karnataka,1,23.5,55.1,2,6.47,27.2,Garlic-chilli extract,Seed treatment,2.3 ml/L water,Every 7 days,Ridomil Gold,Broadcast spraying,2.4 g/L water,Once every 15 days
orange,root rot,early,flowering,Punjab,0,30.3,61.8,4,6.54,46.8,Cow dung decoction,Drip irrigation,3.5 ml/L water,Every 9 days,Confidor,Soil application,1.0 g/L water,Once every 13 days
kidneybeans,stem rot,advanced,seedling,Bihar,0,26.5,54.8,2,7.01,33.0,Cow urine solution,Seed treatment,4.8 ml/L water,Every 9 days,Fungicide M-45,Soil application,2.8 g/L water,Once every 13 days
sugarcane,powdery mildew,early,vegetative,Bihar,0,30.3,46.0,1,6.94,34.3,Garlic-chilli extract,Foliar spray,4.9 ml/L water,Every 6 days,Bavistin,Soil application,1.2 g/L water,Once every 20 days
pigeonpeas,stem rot,mid,flowering,Punjab,0,32.1,57.3,5,6.62,38.3,Beauveria bassiana,Soil drench,4.2 ml/L water,Every 7 days,Chlorpyrifos,Foliar spray,1.9 g/L water,Once every 11 days
maize,stem rot,mid,flowering,Bihar,1,30.9,69.7,0,6.19,46.8,Panchagavya,Drip irrigation,4.6 ml/L water,Every 7 days,Ridomil Gold,Foliar spray,1.1 g/L water,Once every 20 days
rice,powdery mildew,early,flowering,Tamil Nadu,1,31.8,57.9,1,6.36,35.5,Panchagavya,Foliar spray,4.0 ml/L water,Every 9 days,Ridomil Gold,Broadcast spraying,2.4 g/L water,Once every 17 days
jute,leaf blight,advanced,flowering,Karnataka,1,30.2,85.3,2,6.45,52.0,Trichoderma viride,Seed treatment,2.7 ml/L water,Every 9 days,Fungicide M-45,Foliar spray,2.3 g/L water,Once every 12 days
pigeonpeas,stem rot,advanced,vegetative,Bihar,0,32.2,51.5,1,6.68,34.3,Trichoderma viride,Foliar spray,3.7 ml/L water,Every 10 days,Bavistin,Broadcast spraying,2.8 g/L water,Once every 10 days
grapes,root rot,advanced,vegetative,Punjab,0,28.2,46.2,3,6.36,38.3,Cow urine solution,Foliar spray,3.7 ml/L water,Every 9 days,Fungicide M-45,Foliar spray,2.1 g/L water,Once every 15 days
mungbean,powdery mildew,advanced,vegetative,Punjab,0,27.5,54.0,4,6.33,43.0,Neem oil spray,Soil drench,2.6 ml/L water,Every 8 days,Bavistin,Broadcast spraying,2.5 g/L water,Once every 13 days
maize,root rot,early,seedling,Maharashtra,1,27.7,61.5,4,6.22,32.0,Garlic-chilli extract,Foliar spray,2.2 ml/L water,Every 8 days,Ridomil Gold,Broadcast spraying,1.2 g/L water,Once every 11 days
jute,root rot,early,flowering,Bihar,0,30.3,63.1,3,6.18,46.1,Trichoderma viride,Foliar spray,4.3 ml/L water,Every 10 days,Fungicide M-45,Broadcast spraying,2.8 g/L water,Once every 19 days
kidneybeans,stem rot,mid,fruiting,Karnataka,1,32.2,74.8,5,6.31,34.8,Fish amino acid,Soil drench,2.3 ml/L water,Every 6 days,Chlorpyrifos,Foliar spray,1.3 g/L water,Once every 13 days
grapes,stem rot,advanced,flowering,Tamil Nadu,1,29.4,64.6,2,6.88,37.6,Neem oil spray,Drip irrigation,2.1 ml/L water,Every 8 days,Fungicide M-45,Soil application,1.4 g/L water,Once every 17 days
mango,root rot,early,flowering,Bihar,1,25.5,58.6,4,6.79,32.6,Panchagavya,Seed treatment,4.2 ml/L water,Every 9 days,Thiamethoxam,Broadcast spraying,1.8 g/L water,Once every 11 days
kidneybeans,stem rot,advanced,vegetative,Karnataka,0,26.8,89.0,0,6.57,36.1,Panchagavya,Foliar spray,3.1 ml/L water,Every 8 days,Carbendazim,Broadcast spraying,1.4 g/L water,Once every 20 days
apple,downy mildew,advanced,fruiting,Punjab,1,29.5,54.7,6,6.48,35.8,Beauveria bassiana,Seed treatment,2.2 ml/L water,Every 6 days,Fungicide M-45,Foliar spray,1.4 g/L water,Once every 20 days
chickpea,stem rot,mid,seedling,Tamil Nadu,1,29.0,76.9,2,6.69,50.6,Trichoderma viride,Seed treatment,3.3 ml/L water,Every 10 days,Tilt (propiconazole),Soil application,2.8 g/L water,Once every 11 days
kidneybeans,stem rot,mid,fruiting,Maharashtra,1,33.5,63.0,3,6.14,43.8,Neem oil spray,Seed treatment,3.8 ml/L water,Every 5 days,Bavistin,Broadcast spraying,1.7 g/L water,Once every 20 days
jute,powdery mildew,mid,vegetative,Punjab,0,28.9,48.3,1,7.08,16.0,Cow urine solution,Foliar spray,2.3 ml/L water,Every 8 days,Chlorpyrifos,Foliar spray,2.9 g/L water,Once every 14 days
sugarcane,downy mildew,early,vegetative,Tamil Nadu,0,29.0,61.5,0,6.48,37.9,Neem oil spray,Soil drench,2.8 ml/L water,Every 5 days,Carbendazim,Soil application,2.4 g/L water,Once every 18 days
watermelon,downy mildew,early,seedling,Karnataka,0,26.2,61.1,0,6.61,52.7,Panchagavya,Foliar spray,4.3 ml/L water,Every 9 days,Thiamethoxam,Soil application,2.5 g/L water,Once every 18 days
chickpea,downy mildew,advanced,seedling,Tamil Nadu,1,29.9,58.1,0,6.11,28.8,Fish amino acid,Seed treatment,2.3 ml/L water,Every 10 days,Thiamethoxam,Foliar spray,2.4 g/L water,Once every 13 days
coffee,powdery mildew,advanced,seedling,Maharashtra,1,31.7,72.7,1,6.38,40.2,Garlic-chilli extract,Drip irrigation,2.0 ml/L water,Every 7 days,Thiamethoxam,Soil application,2.6 g/L water,Once every 12 days
lentil,leaf blight,advanced,vegetative,Bihar,1,28.7,76.0,0,6.14,32.2,Panchagavya,Seed treatment,4.7 ml/L water,Every 9 days,Chlorpyrifos,Foliar spray,2.3 g/L water,Once every 15 days
banana,powdery mildew,early,seedling,Maharashtra,0,28.6,68.4,4,6.11,28.4,Cow dung decoction,Soil drench,5.0 ml/L water,Every 7 days,Thiamethoxam,Soil application,1.1 g/L water,Once every 15 days
millet,stem rot,mid,fruiting,Karnataka,0,30.9,84.4,2,6.61,38.9,Garlic-chilli extract,Drip irrigation,4.3 ml/L water,Every 9 days,Fungicide M-45,Foliar spray,2.0 g/L water,Once every 12 days
millet,root rot,mid,flowering,Bihar,0,31.6,67.9,0,6.31,38.0,Cow urine solution,Soil drench,3.9 ml/L water,Every 9 days,Chlorpyrifos,Broadcast spraying,1.0 g/L water,Once every 18 days
mothbeans,powdery mildew,advanced,fruiting,Maharashtra,0,30.1,83.1,0,5.9,42.3,Neem oil spray,Drip irrigation,4.8 ml/L water,Every 5 days,Tilt (propiconazole),Soil application,1.8 g/L water,Once every 19 days
tomato,powdery mildew,early,seedling,Bihar,0,32.2,50.5,3,6.52,39.4,Beauveria bassiana,Drip irrigation,4.7 ml/L water,Every 5 days,Ridomil Gold,Soil application,2.3 g/L water,Once every 16 days
millet,root rot,mid,fruiting,Maharashtra,1,30.5,77.4,1,6.58,36.9,Garlic-chilli extract,Drip irrigation,4.5 ml/L water,Every 10 days,Carbendazim,Foliar spray,2.0 g/L water,Once every 13 days
banana,stem rot,mid,seedling,Karnataka,0,26.6,53.8,4,6.58,37.5,Neem oil spray,Drip irrigation,4.0 ml/L water,Every 9 days,Ridomil Gold,Soil application,2.7 g/L water,Once every 16 days
chickpea,stem rot,mid,seedling,Maharashtra,0,28.1,70.1,4,6.43,43.7,Beauveria bassiana,Drip irrigation,3.7 ml/L water,Every 10 days,Fungicide M-45,Foliar spray,2.8 g/L water,Once every 11 days
papaya,downy mildew,mid,seedling,Punjab,0,30.0,58.5,0,6.34,49.9,Trichoderma viride,Drip irrigation,4.7 ml/L water,Every 10 days,Chlorpyrifos,Foliar spray,1.8 g/L water,Once every 20 days
jute,root rot,early,fruiting,Tamil Nadu,0,28.1,80.1,2,6.89,29.4,Panchagavya,Drip irrigation,2.3 ml/L water,Every 9 days,Confidor,Foliar spray,1.5 g/L water,Once every 16 days
orange,stem rot,advanced,seedling,Karnataka,1,28.2,67.3,2,6.83,44.6,Fish amino acid,Seed treatment,3.4 ml/L water,Every 6 days,Chlorpyrifos,Soil application,2.5 g/L water,Once every 11 days
wheat,powdery mildew,mid,vegetative,Maharashtra,1,32.9,71.4,2,6.51,24.3,Neem oil spray,Seed treatment,3.3 ml/L water,Every 10 days,Thiamethoxam,Soil application,2.9 g/L water,Once every 11 days
cotton,powdery mildew,mid,fruiting,Maharashtra,1,28.9,54.8,1,6.87,39.5,Panchagavya,Drip irrigation,2.1 ml/L water,Every 10 days,Thiamethoxam,Soil application,1.8 g/L water,Once every 14 days
kidneybeans,stem rot,mid,fruiting,Karnataka,0,32.2,53.0,1,6.55,44.3,Panchagavya,Soil drench,2.7 ml/L water,Every 9 days,Chlorpyrifos,Broadcast spraying,1.1 g/L water,Once every 15 days
kidneybeans,leaf blight,advanced,vegetative,Punjab,0,30.8,56.9,2,6.34,44.4,Trichoderma viride,Foliar spray,4.6 ml/L water,Every 10 days,Fungicide M-45,Foliar spray,2.7 g/L water,Once every 16 days
sugarcane,root rot,advanced,fruiting,Maharashtra,1,32.5,66.2,1,6.12,41.6,Cow urine solution,Seed treatment,4.9 ml/L water,Every 10 days,Tilt (propiconazole),Foliar spray,2.6 g/L water,Once every 11 days
orange,stem rot,mid,flowering,Bihar,1,31.9,80.7,2,6.43,45.2,Garlic-chilli extract,Soil drench,3.6 ml/L water,Every 7 days,Tilt (propiconazole),Foliar spray,3.0 g/L water,Once every 11 days
papaya,leaf blight,advanced,flowering,Karnataka,1,27.6,73.5,1,6.34,37.8,Fish amino acid,Seed treatment,2.5 ml/L water,Every 8 days,Confidor,Broadcast spraying,2.9 g/L water,Once every 15 days
tomato,root rot,mid,flowering,Bihar,0,23.5,48.8,2,6.42,51.4,Panchagavya,Seed treatment,4.9 ml/L water,Every 7 days,Thiamethoxam,Soil application,2.8 g/L water,Once every 16 days
onion,downy mildew,early,vegetative,Karnataka,0,26.7,58.9,4,6.38,33.8,Cow urine solution,Seed treatment,3.7 ml/L water,Every 10 days,Ridomil Gold,Broadcast spraying,2.3 g/L water,Once every 10 days
banana,stem rot,early,fruiting,Karnataka,1,24.4,61.9,4,6.68,20.0,Cow dung decoction,Soil drench,4.4 ml/L water,Every 6 days,Confidor,Foliar spray,1.4 g/L water,Once every 14 days
tomato,root rot,mid,seedling,Maharashtra,1,31.6,68.4,1,6.85,31.4,Trichoderma viride,Foliar spray,2.7 ml/L water,Every 10 days,Carbendazim,Broadcast spraying,2.8 g/L water,Once every 15 days
coconut,downy mildew,early,vegetative,Punjab,1,28.3,92.6,3,6.71,22.8,Cow dung decoction,Seed treatment,3.3 ml/L water,Every 6 days,Confidor,Foliar spray,1.4 g/L water,Once every 10 days
cotton,leaf blight,mid,fruiting,Punjab,1,23.3,55.0,1,5.99,38.4,Garlic-chilli extract,Drip irrigation,2.2 ml/L water,Every 9 days,Fungicide M-45,Soil application,2.1 g/L water,Once every 13 days
papaya,stem rot,advanced,vegetative,Tamil Nadu,0,29.8,56.5,1,6.64,40.1,Cow dung decoction,Soil drench,4.2 ml/L water,Every 5 days,Thiamethoxam,Soil application,1.4 g/L water,Once every 19 days
banana,leaf blight,early,seedling,Punjab,1,26.6,74.6,2,6.43,38.3,Cow urine solution,Soil drench,4.3 ml/L water,Every 5 days,Chlorpyrifos,Soil application,1.6 g/L water,Once every 11 days
mango,downy mildew,early,flowering,Karnataka,1,36.1,67.5,2,6.49,42.5,Cow dung decoction,Soil drench,3.0 ml/L water,Every 5 days,Carbendazim,Foliar spray,1.5 g/L water,Once every 10 days
blackgram,leaf blight,mid,vegetative,Maharashtra,1,23.7,60.7,1,6.3,35.5,Garlic-chilli extract,Soil drench,3.3 ml/L water,Every 10 days,Confidor,Broadcast spraying,2.3 g/L water,Once every 16 days
grapes,stem rot,mid,seedling,Karnataka,1,25.6,60.1,3,6.79,33.4,Fish amino acid,Drip irrigation,4.1 ml/L water,Every 5 days,Carbendazim,Foliar spray,1.3 g/L water,Once every 11 days
mango,root rot,early,vegetative,Bihar,1,30.8,75.7,2,6.2,30.0,Panchagavya,Soil drench,4.2 ml/L water,Every 9 days,Confidor,Broadcast spraying,2.2 g/L water,Once every 10 days
maize,stem rot,mid,fruiting,Karnataka,1,29.0,53.7,0,6.19,28.1,Trichoderma viride,Soil drench,4.1 ml/L water,Every 8 days,Fungicide M-45,Soil application,2.4 g/L water,Once every 11 days
onion,powdery mildew,early,fruiting,Bihar,1,28.7,62.3,3,6.71,36.6,Garlic-chilli extract,Seed treatment,2.8 ml/L water,Every 8 days,Chlorpyrifos,Foliar spray,2.3 g/L water,Once every 12 days
blackgram,downy mildew,advanced,seedling,Karnataka,0,26.7,65.8,1,6.61,30.8,Neem oil spray,Soil drench,2.4 ml/L water,Every 5 days,Confidor,Broadcast spraying,2.2 g/L water,Once every 16 days
sugarcane,leaf blight,advanced,vegetative,Karnataka,1,35.4,63.8,2,6.35,39.4,Trichoderma viride,Foliar spray,3.5 ml/L water,Every 10 days,Confidor,Foliar spray,2.9 g/L water,Once every 16 days
pomegranate,root rot,advanced,vegetative,Maharashtra,0,30.5,65.6,2,6.51,16.3,Panchagavya,Drip irrigation,3.0 ml/L water,Every 10 days,Tilt (propiconazole),Broadcast spraying,2.1 g/L water,Once every 19 days
blackgram,powdery mildew,mid,flowering,Karnataka,1,31.5,71.8,4,6.36,39.6,Fish amino acid,Drip irrigation,3.0 ml/L water,Every 7 days,Thiamethoxam,Broadcast spraying,1.1 g/L water,Once every 19 days
blackgram,downy mildew,mid,flowering,Karnataka,1,30.2,56.5,1,6.19,38.9,Cow dung decoction,Drip irrigation,4.9 ml/L water,Every 8 days,Ridomil Gold,Soil application,1.8 g/L water,Once every 15 days
barley,root rot,early,flowering,Punjab,1,30.9,52.4,0,6.01,47.3,Panchagavya,Soil drench,3.6 ml/L water,Every 7 days,Fungicide M-45,Soil application,1.2 g/L water,Once every 15 days
